state,x,y
Alba,-145,44
Arad,-320,52
Arges,-3,-86
Bacau,152,70
Bihor,-300,142
Bistrita Nasaud,-52, 184
Botosani,161,267
Brasov,15,-30
Braila,260,-120
Buzau,152,-85
Caras Severin,-290,-112
Calarasi,185,-225
Cluj,-155,110
Constanta,315,-239
Covasna,95,-1
Dambovita,45,-158
Dolj,-140,-240
Galati,260,-17
Giurgiu,98,-254
Gorj,-170,-125
Harghita,45,60
Hunedoara,-200,-20
Ialomita,170,-185
Iasi,198,180
Ilfov,115,-203
Maramures,-98,235
Mehedinti,-230,-213
Mures,-40,87
Neamt,120,142
Olt,-62,-214
Prahova,90,-109
Satu Mare,-220,240
Salaj,-178,170
Sibiu,-80,-14
Suceava,65,235
Teleorman,12,-268
Timis,-370,-23
Tulcea,350,-130
Vaslui,271,74
Valcea,-80,-104
Vrancea,175,-5
